variant_id,run_group_id,ticker,provider,status,answer_path,fiscal_year,report_period,revenue,net_income,total_assets,operating_cash_flow,capital_expenditures,free_cash_flow,net_margin,free_cash_flow_margin
aapl-financialdatasets-rest,01KRNZ4636BF4468TR063ZKSMY,AAPL,Financial Datasets,pass,.axp/sandboxes/01KRNZ33R1MTTW3VDJBSE8RKX8/workspace/answer.json,2026,2026-03-28,111184000000,29578000000,371082000000,28702000000,1971000000,26731000000,0.266027,0.240421
aapl-sec-edgar,01KRNZ489NE2PHT7ARVZWBWCW3,AAPL,SEC EDGAR,pass,.axp/sandboxes/01KRNZ36FA0EQDJZ54ZR5C6EEC/workspace/answer.json,2026,2026-03-28,111184000000,29578000000,371082000000,28702000000,1971000000,26731000000,0.266027,0.240421
cost-financialdatasets-rest,01KRNZ49P6ZEG4QE024SD6AJEC,COST,Financial Datasets,fail,.axp/sandboxes/01KRNZ39F2D8TFZYYQHPZS83GC/workspace/answer.json,2026,2025-11-23,67307000000,2001000000,82790000000,4688000000,1526000000,3162000000,0.029729,0.046979
cost-sec-edgar,01KRNZ47H4BD9CYB9XRCPNAHRX,COST,SEC EDGAR,pass,.axp/sandboxes/01KRNZ39HVQTFR4A7QVDPFZSGD/workspace/answer.json,2026,2026-02-15,69597000000,2035000000,83639000000,2996000000,1289000000,1707000000,0.02924,0.024527
googl-financialdatasets-rest,01KRNZ5STFWV4J4G4QZY5V0G00,GOOGL,Financial Datasets,pass,.axp/sandboxes/01KRNZ34SS9ZVPNBM4Y6C4F8WJ/workspace/answer.json,2026,2026-03-31,109896000000,62578000000,703919000000,45790000000,35674000000,10116000000,0.569429,0.092051
googl-sec-edgar,01KRNZ6SZS3V793NXTYH1MVZMG,GOOGL,SEC EDGAR,pass,.axp/sandboxes/01KRNZ35VBV751C8K0EMG3WKK1/workspace/answer.json,2026,2026-03-31,109896000000,62578000000,703919000000,45790000000,35674000000,10116000000,0.569429,0.092051
jnj-financialdatasets-rest,01KRNZ7SV21SMT5NNM3P0YTWHC,JNJ,Financial Datasets,pass,.axp/sandboxes/01KRNZ378BV5K66B42VQA5DMYJ/workspace/answer.json,2026,2026-03-29,24062000000,5235000000,200894000000,2514000000,1049000000,1465000000,0.217563,0.060884
jnj-sec-edgar,01KRNZ837CZGGT17MD4E46XPC2,JNJ,SEC EDGAR,pass,.axp/sandboxes/01KRNZ37EF6VY0625167ZCG6J9/workspace/answer.json,2026,2026-03-29,24062000000,5235000000,200894000000,2514000000,1049000000,1465000000,0.217563,0.060884
meta-financialdatasets-rest,01KRNZ8TRJTE266ABA1Z0SSWF5,META,Financial Datasets,pass,.axp/sandboxes/01KRNZ364YET26WMR0EDQRKK4A/workspace/answer.json,2026,2026-03-31,56311000000,26773000000,395250000000,32226000000,18997000000,13229000000,0.475449,0.234927
meta-sec-edgar,01KRNZ9K97KE12NRD29CVKWPS4,META,SEC EDGAR,fail,.axp/sandboxes/01KRNZ36TMYYBD4AP2BKHY9M5J/workspace/answer.json,2026,2026-03-31,56311000000,26773000000,395250000000,32226000000,19840000000,12386000000,0.475449,0.219957
