ticker,fiscal_year,fiscal_period,report_period,revenue,net_income,total_assets,operating_cash_flow,capital_expenditures,free_cash_flow
AAPL,2026,Q2,2026-03-28,111184000000,29578000000,371082000000,28702000000,1971000000,26731000000
COST,2026,Q2,2026-02-15,69597000000,2035000000,83639000000,2996000000,1289000000,1707000000
GOOGL,2026,Q1,2026-03-31,109896000000,62578000000,703919000000,45790000000,35674000000,10116000000
JNJ,2026,Q1,2026-03-29,24062000000,5235000000,200894000000,2514000000,1049000000,1465000000
META,2026,Q1,2026-03-31,56311000000,26773000000,395250000000,32226000000,18997000000,13229000000
MSFT,2026,Q3,2026-03-31,82886000000,31778000000,694228000000,46679000000,30876000000,15803000000
PG,2026,Q3,2026-03-31,21235000000,3932000000,128378000000,4045000000,1019000000,3026000000
TSLA,2026,Q1,2026-03-31,22387000000,477000000,143724000000,3937000000,2493000000,1444000000
WMT,2026,Q4,2026-01-31,190656000000,4237000000,284668000000,14113000000,8015000000,6098000000
XOM,2026,Q1,2026-03-31,85138000000,4183000000,464410000000,8705000000,6470000000,2235000000
